x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanobsall,upobsall,lowobsall,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
1010,10782056.26,15041324.026478559,6522788.493521442,7469165.66,10522672.27669793,4415659.043302071,11495855.26,16000947.78507416,6990762.73492584,11227344.73,15471605.247331029,6983084.212668972,10819917.67,14769853.30289852,6869982.037101479,9689890.16,13129533.199241763,6250247.120758237,5454404.23,7476373.615311114,3432434.844688887
1020,10588633.01,14889482.48133158,6287783.538668421,6957529.69,9515909.694979902,4399149.685020098,11350663.84,16224409.612409431,6476918.067590569,11342208.91,15987098.79616259,6697319.023837409,10766898.08,15150152.049439862,6383644.110560137,9688717.5,13396782.828237474,5980652.171762525,5110121.86,6901902.108628809,3318341.611371191
1030,10266284.92,14565489.417983133,5967080.422016866,6857352.41,9437682.205526277,4277022.614473723,11055784.82,16030522.177593766,6081047.462406235,11080298.78,15949011.074522324,6211586.485477676,10288378.51,14434838.046602178,6141918.973397821,9077549.47,12404069.663713004,5751029.276286997,5025507.7,6722187.3108918425,3328828.089108158
1040,10863519.97,15832053.249999553,5894986.690000448,7791418.88,11006345.49338742,4576492.26661258,11765442.21,17431832.147394855,6099052.272605148,12250961.32,18766414.955463726,5735507.684536274,11324413.28,16311545.462827155,6337281.097172843,9908719.36,13595920.670502335,6221518.049497665,5442454.69,7628938.239363309,3255971.1406366923
1050,10755171.57,15622172.294677904,5888170.845322097,8511192.74,11832410.734094307,5189974.745905695,11638231.03,17270906.837458014,6005555.222541985,11399816.35,16770290.68120543,6029342.018794569,11028709.5,15929557.315032281,6127861.684967718,10080304.42,13714334.812711406,6446274.027288594,5714299.04,8033567.930607827,3395030.149392172
1060,11558147.5,15841573.011429911,7274721.9885700885,9191486.46,12798291.763335472,5584681.15666453,12434356.86,17687782.683801033,7180931.036198966,12467150.4,17707203.711908303,7227097.088091698,11768720.4,16128955.378218964,7408485.421781036,10548767.6,14455867.328893568,6641667.871106431,6478701.19,9285207.938305764,3672194.4416942373
1070,11435787.52,15361663.698579391,7509911.341420608,9134836.5,12795333.741315577,5474339.258684424,12870233.94,18390273.482408285,7350194.397591715,13024281.79,18455360.906033374,7593202.673966622,11692459.18,15662751.052050496,7722167.307949504,10569606.27,14285529.972455956,6853682.567544043,5760108.2,8172497.18687295,3347719.21312705
1080,10002272.57,13432539.750106895,6572005.389893105,8251513.66,11866400.617648186,4636626.702351814,11629692.53,16236882.020658176,7022503.039341822,11400228.17,16368154.653859073,6432301.686140927,10276624.73,13761575.929219829,6791673.530780172,9095299.95,12271426.678628119,5919173.22137188,5794883.02,8620269.208880845,2969496.8311191527
1090,9515986.31,13019625.376228638,6012347.243771364,7684468.87,11105015.566647716,4263922.173352285,11385883.09,15963611.520544033,6808154.659455965,10549942.54,15182601.52147719,5917283.558522807,9583690.73,13118228.314324005,6049153.145675996,9278540.23,12440274.504520122,6116805.955479878,5731914.52,8461472.40689855,3002356.6331014493
1100,9916492.34,13628479.716198849,6204504.963801151,7311579.47,10235487.661327565,4387671.278672434,12159585.2,16980594.541272722,7338575.858727278,11029183.05,16052382.085024256,6005984.014975744,9931494.8,13570613.98840461,6292375.611595393,10088995.09,13393855.817000082,6784134.362999918,5666160.25,8157567.916526746,3174752.583473254
